name,url_titlepage,url_videopage,url_chunk,content
bacteria-killers,https://www.magellantv.com/video/bacteria-killers,https://www.magellantv.com/video/bacteria-killers?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24795_ad61e9408e472ae35c5c3079c52e187cfc51db3b/site/4pSWjNlc/media/MuEucvj0/version/MuEucvj0/manifest.ism/manifest-audio_eng=112000-video_eng=408968-4.ts,magellantv_science-tech
codebreaker-alan-turing-persecution-of-a-genius,https://www.magellantv.com/video/codebreaker-alan-turing-persecution-of-a-genius,https://www.magellantv.com/video/codebreaker-alan-turing-persecution-of-a-genius?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2479a_ad9e101ddcfef3fd1327534bfc93f289f0eae716/site/4pSWjNlc/media/4uCpG7IE/version/4uCpG7IE/manifest.ism/manifest-audio_eng=112000-video_eng=2974912-10.ts,magellantv_science-tech
the-dark-side-of-light,https://www.magellantv.com/video/the-dark-side-of-light,https://www.magellantv.com/video/the-dark-side-of-light?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2479e_1f11ed05973af2621565e2d6b6d87542c15e5e59/site/4pSWjNlc/media/3ZPzLSeG/version/3ZPzLSeG/manifest.ism/manifest-audio_eng=112000-video_eng=180176-1.ts,magellantv_science-tech
the-secret-life-of-chaos,https://www.magellantv.com/video/the-secret-life-of-chaos,https://www.magellantv.com/video/the-secret-life-of-chaos?type=v,https://d8dplxrhycocu.cloudfront.net/RNjXwAtQ/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
the-science-of-bubbles,https://www.magellantv.com/video/the-science-of-bubbles,https://www.magellantv.com/video/the-science-of-bubbles?type=v,https://d8dplxrhycocu.cloudfront.net/lJblauYw/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
sonic-magic,https://www.magellantv.com/video/sonic-magic,https://www.magellantv.com/video/sonic-magic?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247b3_aaabb30e030873bf3eb3cd411075f61ae2368fe3/site/4pSWjNlc/media/I74tEQNr/version/I74tEQNr/manifest.ism/manifest-audio_eng=112000-video_eng=283328-2.ts,magellantv_science-tech
ticket-to-the-future-the-evolution-of-travel,https://www.magellantv.com/video/ticket-to-the-future-the-evolution-of-travel,https://www.magellantv.com/video/ticket-to-the-future-the-evolution-of-travel?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247ba_35bffedb739ecbb976085e3cc9c43b86fae1c47c/site/4pSWjNlc/media/0ZjasqiU/version/0ZjasqiU/manifest.ism/manifest-audio_eng=112000-video_eng=607408-4.ts,magellantv_science-tech
can-we-live-with-robots,https://www.magellantv.com/video/can-we-live-with-robots,https://www.magellantv.com/video/can-we-live-with-robots?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247be_ba37d1e2fc1d2870fe5aa1b9d4fbf680f8ea9fb6/site/4pSWjNlc/media/kW9mI2v4/version/kW9mI2v4/manifest.ism/manifest-audio_eng=112000-video_eng=230936-3.ts,magellantv_science-tech
mechanical-monsters,https://www.magellantv.com/video/mechanical-monsters,https://www.magellantv.com/video/mechanical-monsters?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247c8_bf0e34c367069ec93b97c48e36eecccaf6ea479e/site/4pSWjNlc/media/0ulWRtEE/version/0ulWRtEE/manifest.ism/manifest-audio_eng=112000-video_eng=191128-2.ts,magellantv_science-tech
einstein-and-the-theory-of-relativity,https://www.magellantv.com/video/einstein-and-the-theory-of-relativity,https://www.magellantv.com/video/einstein-and-the-theory-of-relativity?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247ce_2482f614cb307c546191dabf3c59e880ef2b5d0c/site/4pSWjNlc/media/vJvvJacV/version/vJvvJacV/manifest.ism/manifest-audio_eng=112000-video_eng=1388272-7.ts,magellantv_science-tech
dont-panic-the-truth-about-population,https://www.magellantv.com/video/dont-panic-the-truth-about-population,https://www.magellantv.com/video/dont-panic-the-truth-about-population?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247d2_e1d9f3f4070bf17cbea9b3ffc5ae307f40c95124/site/4pSWjNlc/media/OGi7E7jf/version/OGi7E7jf/manifest.ism/manifest-audio_eng=112000-video_eng=199296-1.ts,magellantv_science-tech
fukushima-robots-in-hell,https://www.magellantv.com/video/fukushima-robots-in-hell,https://www.magellantv.com/video/fukushima-robots-in-hell?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247d8_71452f099fdf9dce376288c86ba05e27b59f5d44/site/4pSWjNlc/media/EX61qA30/version/L9nBr9BM/manifest.ism/manifest-audio_eng=112000-video_eng=189928-2.ts,magellantv_science-tech
solar-impulse-the-great-american-crossing,https://www.magellantv.com/video/solar-impulse-the-great-american-crossing,https://www.magellantv.com/video/solar-impulse-the-great-american-crossing?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247de_38014b940f7f0497bdbb5782132e021e1c0c70c7/site/4pSWjNlc/media/uAIbxydt/version/uAIbxydt/manifest.ism/manifest-audio_eng=112000-video_eng=222560-3.ts,magellantv_science-tech
urban-diggers-malaysia,https://www.magellantv.com/video/urban-diggers-malaysia,https://www.magellantv.com/video/urban-diggers-malaysia?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247e2_6196aeb6a466ef5b1241d876b362f4159c45cf42/site/4pSWjNlc/media/gIzDCaI8/version/gIzDCaI8/manifest.ism/manifest-audio_eng=112000-video_eng=266008-2.ts,magellantv_science-tech
airline-disaster-crash-of-the-century-,https://www.magellantv.com/video/airline-disaster-crash-of-the-century-,https://www.magellantv.com/video/airline-disaster-crash-of-the-century-?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247e7_a611262a0a02a286406278abf852842ff7ce9ca0/site/4pSWjNlc/media/GWsdzqfy/version/GWsdzqfy/manifest.ism/manifest-audio_eng=112000-video_eng=202280-2.ts,magellantv_science-tech
